Building_Name,Type,State,LGA,City,Floor_Area_sqm,Estimated_Peak_Power_Demand_kW,Current_Power_Source,Backup_Generator_Capacity_kW,Monthly_Diesel_Consumption_Liters,Grid_Connection,Average_Outage_Hours_Per_Day,Annual_Energy_Cost_Naira_Millions,Gas_Pipeline_Distance_km,SOFC_Potential_Rating
Ikeja City Mall,Shopping Mall,Lagos,Ikeja,Ikeja,45000,2800,Grid + Generators,3500,185000,Yes,8,425,8.5,High
The Palms Shopping Mall,Shopping Mall,Lagos,Lekki,Lekki,38000,2400,Grid + Generators,3000,165000,Yes,7,380,15.2,Medium
Jabi Lake Mall,Shopping Mall,FCT,Abuja Municipal,Abuja,42000,2600,Grid + Generators,3200,172000,Yes,6,395,12.8,High
Shoprite Surulere,Shopping Mall,Lagos,Surulere,Surulere,22000,1400,Grid + Generators,1800,95000,Yes,8,245,10.2,High
Spar Enugu,Shopping Mall,Enugu,Enugu South,Enugu,18000,1100,Grid + Generators,1400,75000,Yes,9,198,11.8,Medium
Genesis Deluxe Cinemas,Entertainment,Lagos,Lekki,Lekki,12000,850,Grid + Generators,1100,58000,Yes,7,152,15.2,Medium
Silverbird Galleria,Shopping Mall,Lagos,Victoria Island,Victoria Island,32000,2000,Grid + Generators,2500,138000,Yes,7,335,12.5,High
Ceddi Plaza,Shopping Mall,FCT,Abuja Municipal,Abuja,28000,1750,Grid + Generators,2200,122000,Yes,6,285,12.8,High
Novare Mall Sangotedo,Shopping Mall,Lagos,Eti-Osa,Lekki,35000,2200,Grid + Generators,2800,152000,Yes,8,368,18.5,Medium
Leisure Mall Surulere,Shopping Mall,Lagos,Surulere,Surulere,25000,1550,Grid + Generators,1950,108000,Yes,8,265,10.2,High
Ventura Mall Enugu,Shopping Mall,Enugu,Enugu East,Enugu,20000,1250,Grid + Generators,1600,85000,Yes,9,215,13.5,Medium
Gateway Mall Sango Ota,Shopping Mall,Ogun,Ado-Odo-Ota,Ota,16000,1000,Grid + Generators,1300,68000,Yes,10,188,6.8,High
Ikeja City Hotel,Hotel,Lagos,Ikeja,Ikeja,18000,1600,Grid + Generators,2000,118000,Yes,8,295,8.5,High
Transcorp Hilton Abuja,Hotel,FCT,Abuja Municipal,Abuja,32000,3200,Grid + Generators,4000,248000,Yes,5,615,12.8,High
Eko Hotel and Suites,Hotel,Lagos,Eti-Osa,Victoria Island,48000,4800,Grid + Generators,6000,385000,Yes,6,952,14.8,High
Sheraton Lagos Hotel,Hotel,Lagos,Ikeja,Ikeja,28000,2800,Grid + Generators,3500,220000,Yes,7,548,8.5,High
Le Meridien Ibom Hotel,Hotel,Akwa Ibom,Uyo,Uyo,22000,2200,Grid + Generators,2800,175000,Yes,10,438,45.0,Low
Golden Tulip Port Harcourt,Hotel,Rivers,Port Harcourt,Port Harcourt,20000,2000,Grid + Generators,2500,158000,Yes,8,395,3.8,Very High
Protea Hotel GRA Enugu,Hotel,Enugu,Enugu South,Enugu,14000,1400,Grid + Generators,1750,110000,Yes,9,275,11.8,Medium
Nike Lake Resort,Hotel,Enugu,Enugu East,Enugu,16000,1500,Grid + Generators,1900,118000,Yes,9,295,13.5,Medium
Hotel Presidential Port Harcourt,Hotel,Rivers,Port Harcourt,Port Harcourt,18000,1800,Grid + Generators,2250,142000,Yes,8,352,3.8,Very High
Transcorp Metro Park,Office Complex,FCT,Abuja Municipal,Abuja,28000,1800,Grid + Generators,2250,125000,Yes,6,312,12.8,High
