Location,Fuel_Source,Average_Temperature_C,Average_Humidity_pct,Fuel_Availability_pct,Fuel_Quality_Rating,Typical_Sulfur_Content_ppm,Corrosion_Risk_Level,Cooling_Requirements,Performance_Derating_Factor,Additional_Maintenance_Factor,Recommended_BOP_Enhancements,Grid_Stability_Score,Estimated_Grid_Outages_per_month,Suitability_for_Island_Operation,Local_Technical_Support_Availability
"Lagos (Coastal, High humidity)",Pipeline Natural Gas (Nigerian Gas),27.4,74.4,85,Good,7.8,High,Enhanced,0.988,1.024,"Humidity control, Corrosion protection",5,26,Beneficial,Moderate
"Lagos (Coastal, High humidity)",Associated Petroleum Gas (APG),28.6,80.8,40,Variable,154.5,High,Enhanced,0.9721,1.056,"Humidity control, Corrosion protection",4,15,Essential,Moderate
"Lagos (Coastal, High humidity)",LPG (Domestic),28.5,87.4,90,Good,28.9,High,Enhanced,0.9726,1.055,"Humidity control, Corrosion protection",7,30,Beneficial,Moderate
"Lagos (Coastal, High humidity)",Bio-methane (Municipal Waste),31.6,78.8,70,Variable,147.7,High,Enhanced,0.967,1.066,"Humidity control, Corrosion protection",3,16,Beneficial,Moderate
"Lagos (Coastal, High humidity)",Bio-methane (Agricultural Waste),31.4,74.1,70,Variable,90.9,High,Enhanced,0.9681,1.064,"Humidity control, Corrosion protection",7,33,Essential,Moderate
"Abuja (Central, Moderate climate)",Pipeline Natural Gas (Nigerian Gas),29.1,53.5,60,Good,4.4,Moderate,Standard,0.9793,1.041,Standard package,7,28,Essential,Moderate
"Abuja (Central, Moderate climate)",Associated Petroleum Gas (APG),25.5,40.2,40,Variable,158.5,Moderate,Standard,0.9974,1.005,Standard package,3,23,Essential,Moderate
"Abuja (Central, Moderate climate)",LPG (Domestic),25.2,42.5,90,Good,18.6,Moderate,Standard,0.9989,1.002,Standard package,7,15,Essential,Moderate
"Abuja (Central, Moderate climate)",Bio-methane (Municipal Waste),29.3,49.3,50,Variable,39.1,Moderate,Standard,0.9785,1.043,Standard package,3,34,Essential,Moderate
"Abuja (Central, Moderate climate)",Bio-methane (Agricultural Waste),25.2,41.3,50,Variable,135.3,Moderate,Standard,0.9989,1.002,Standard package,6,15,Essential,Moderate
"Kano (Northern, Hot-dry)",Pipeline Natural Gas (Nigerian Gas),36.5,25.9,60,Good,7.9,Low,Enhanced,0.9426,1.115,"Enhanced cooling, Dust filtration",4,21,Essential,Limited
"Kano (Northern, Hot-dry)",Associated Petroleum Gas (APG),32.3,34.9,40,Variable,133.9,Low,Enhanced,0.9633,1.073,"Enhanced cooling, Dust filtration",7,23,Beneficial,Limited
"Kano (Northern, Hot-dry)",LPG (Domestic),35.3,27.2,90,Good,31.2,Low,Enhanced,0.9485,1.103,"Enhanced cooling, Dust filtration",6,23,Essential,Limited
"Kano (Northern, Hot-dry)",Bio-methane (Municipal Waste),34.6,29.2,70,Variable,31.0,Low,Enhanced,0.9522,1.096,"Enhanced cooling, Dust filtration",5,34,Essential,Limited
"Kano (Northern, Hot-dry)",Bio-methane (Agricultural Waste),31.7,27.6,70,Variable,41.4,Low,Enhanced,0.9663,1.067,"Enhanced cooling, Dust filtration",3,27,Beneficial,Limited
"Port Harcourt (Niger Delta, High humidity)",Pipeline Natural Gas (Nigerian Gas),29.3,80.4,85,Good,4.1,High,Enhanced,0.9686,1.063,"Humidity control, Corrosion protection",4,32,Beneficial,Limited
"Port Harcourt (Niger Delta, High humidity)",Associated Petroleum Gas (APG),27.2,84.3,95,Variable,108.0,High,Enhanced,0.9788,1.042,"Humidity control, Corrosion protection",6,15,Essential,Limited
"Port Harcourt (Niger Delta, High humidity)",LPG (Domestic),30.5,88.2,90,Good,32.8,High,Enhanced,0.9625,1.075,"Humidity control, Corrosion protection",5,22,Essential,Limited
"Port Harcourt (Niger Delta, High humidity)",Bio-methane (Municipal Waste),31.1,80.8,50,Variable,121.0,High,Enhanced,0.9594,1.081,"Humidity control, Corrosion protection",6,24,Essential,Limited
"Port Harcourt (Niger Delta, High humidity)",Bio-methane (Agricultural Waste),27.6,74.0,50,Variable,67.7,High,Enhanced,0.9869,1.026,"Humidity control, Corrosion protection",7,16,Beneficial,Limited
"Kaduna (Northern, Moderate)",Pipeline Natural Gas (Nigerian Gas),29.4,50.1,60,Good,3.1,Moderate,Standard,0.9778,1.044,Standard package,3,27,Beneficial,Limited
"Kaduna (Northern, Moderate)",Associated Petroleum Gas (APG),26.7,49.0,40,Variable,193.8,Moderate,Standard,0.9917,1.017,Standard package,3,18,Essential,Limited
"Kaduna (Northern, Moderate)",LPG (Domestic),25.6,58.8,90,Good,29.1,Moderate,Standard,0.9971,1.006,Standard package,3,25,Essential,Limited
"Kaduna (Northern, Moderate)",Bio-methane (Municipal Waste),26.8,45.6,50,Variable,108.6,Moderate,Standard,0.9911,1.018,Standard package,4,29,Essential,Limited
"Kaduna (Northern, Moderate)",Bio-methane (Agricultural Waste),28.7,55.2,50,Variable,52.5,Moderate,Standard,0.9817,1.037,Standard package,6,33,Essential,Limited
"Ibadan (Southwest, Moderate humidity)",Pipeline Natural Gas (Nigerian Gas),24.9,44.3,60,Good,4.8,Moderate,Standard,1.0,1.0,Standard package,7,36,Beneficial,Limited
"Ibadan (Southwest, Moderate humidity)",Associated Petroleum Gas (APG),27.3,40.8,40,Variable,150.0,Moderate,Standard,0.9883,1.023,Standard package,3,36,Essential,Limited
"Ibadan (Southwest, Moderate humidity)",LPG (Domestic),26.0,58.0,90,Good,39.9,Moderate,Standard,0.9952,1.01,Standard package,4,35,Beneficial,Limited
"Ibadan (Southwest, Moderate humidity)",Bio-methane (Municipal Waste),27.5,41.3,50,Variable,41.4,Moderate,Standard,0.9877,1.025,Standard package,6,37,Essential,Limited
"Ibadan (Southwest, Moderate humidity)",Bio-methane (Agricultural Waste),28.8,53.5,50,Variable,30.7,Moderate,Standard,0.981,1.038,Standard package,5,17,Beneficial,Limited
"Benin City (South, High humidity)",Pipeline Natural Gas (Nigerian Gas),28.5,72.6,60,Good,2.1,High,Enhanced,0.9827,1.035,"Humidity control, Corrosion protection",5,35,Beneficial,Limited
"Benin City (South, High humidity)",Associated Petroleum Gas (APG),26.1,71.6,40,Variable,96.8,High,Enhanced,0.9946,1.011,"Humidity control, Corrosion protection",4,31,Beneficial,Limited
"Benin City (South, High humidity)",LPG (Domestic),26.8,80.2,90,Good,10.2,High,Enhanced,0.981,1.038,"Humidity control, Corrosion protection",5,28,Essential,Limited
"Benin City (South, High humidity)",Bio-methane (Municipal Waste),29.5,81.6,50,Variable,148.9,High,Enhanced,0.9674,1.065,"Humidity control, Corrosion protection",5,23,Essential,Limited
"Benin City (South, High humidity)",Bio-methane (Agricultural Waste),28.3,74.6,50,Variable,101.6,High,Enhanced,0.9833,1.033,"Humidity control, Corrosion protection",5,37,Beneficial,Limited
"Maiduguri (Northeast, Hot-dry)",Pipeline Natural Gas (Nigerian Gas),33.3,19.2,60,Good,8.0,Low,Enhanced,0.9586,1.083,"Enhanced cooling, Dust filtration",6,24,Essential,Limited
"Maiduguri (Northeast, Hot-dry)",Associated Petroleum Gas (APG),32.6,33.8,40,Variable,125.6,Low,Enhanced,0.9619,1.076,"Enhanced cooling, Dust filtration",5,34,Beneficial,Limited
"Maiduguri (Northeast, Hot-dry)",LPG (Domestic),36.6,17.2,90,Good,37.8,Low,Enhanced,0.9418,1.116,"Enhanced cooling, Dust filtration",6,25,Essential,Limited
"Maiduguri (Northeast, Hot-dry)",Bio-methane (Municipal Waste),35.0,28.0,50,Variable,63.0,Low,Enhanced,0.9501,1.1,"Enhanced cooling, Dust filtration",5,32,Essential,Limited
"Maiduguri (Northeast, Hot-dry)",Bio-methane (Agricultural Waste),32.1,19.1,50,Variable,35.1,Low,Enhanced,0.9643,1.071,"Enhanced cooling, Dust filtration",4,30,Essential,Limited
