Sector,Sub_Sector,2020_SMEs_Thousands,2021_SMEs_Thousands,2022_SMEs_Thousands,2023_SMEs_Thousands,2024_SMEs_Thousands,Average_Employment_Per_SME,Revenue_Range_Million_NGN,Innovation_Intensity_Score,Digital_Readiness_Score,Export_Potential_Score,Growth_Rate_2024_Percent,Key_Innovation_Areas,Major_Constraints,Technology_Adoption_Level
Manufacturing,Food Processing,2456.7,2578.3,2712.5,2856.8,3012.4,12.3,5-50,6.8,5.2,7.1,5.4,Automation|Quality control|Packaging,Raw material costs|Power supply,Medium
Manufacturing,Textiles and Garments,1234.5,1289.2,1347.8,1409.7,1475.1,8.7,3-35,5.9,4.8,8.3,4.6,Design software|Production efficiency,Competition from imports|Skills gap,Low
Manufacturing,Wood and Furniture,987.3,1036.7,1089.5,1145.9,1206.2,6.4,2-25,4.2,3.1,5.7,5.2,CAD design|Finishing techniques,Access to quality timber|Market access,Low
Manufacturing,Metal and Fabrication,756.8,794.6,834.3,876.0,920.8,9.8,4-40,7.3,6.1,6.9,5.1,Welding technology|CNC machines,Raw material prices|Technical skills,Medium
Manufacturing,Chemicals and Plastics,423.2,444.4,466.6,490.0,514.5,15.6,8-80,8.1,7.4,7.8,5.0,Process optimization|Quality testing,Environmental regulations|R&D costs,High
Manufacturing,Electronics Assembly,234.6,246.3,258.6,271.5,285.1,11.2,6-60,8.9,8.7,8.5,5.2,Component sourcing|Testing equipment,Import dependencies|Technical expertise,High
Services,Information Technology,1876.4,2345.6,2934.5,3668.1,4585.1,7.8,1-100,9.2,9.5,8.9,25.0,AI/ML|Cloud computing|Mobile apps,Talent retention|Infrastructure,Very High
Services,Professional Services,2134.7,2241.4,2352.5,2468.1,2588.5,5.3,2-75,6.7,7.8,6.2,4.9,Digital tools|Client management systems,Market competition|Skill development,High
Services,Financial Services,567.8,596.2,625.9,657.2,690.1,8.9,5-200,8.5,8.9,5.4,5.0,FinTech solutions|Digital payments,Regulatory compliance|Capital requirements,Very High
Services,Healthcare Services,789.3,828.8,870.2,913.7,959.4,6.7,3-150,7.1,6.8,4.1,5.0,Telemedicine|Digital records,Equipment costs|Regulatory barriers,Medium
Services,Education and Training,1245.6,1307.9,1373.3,1441.9,1514.0,4.2,1-50,6.9,7.5,3.8,5.0,E-learning platforms|Digital content,Infrastructure|Content development,High
Services,Transportation and Logistics,2345.8,2463.1,2585.2,2712.5,2845.1,3.8,2-80,5.4,6.2,7.6,4.9,Route optimization|Fleet management,Fuel costs|Vehicle maintenance,Medium
Trade,Retail Trade,8765.4,9203.7,9653.9,10125.6,10620.9,2.1,0.5-20,3.2,4.1,2.3,4.9,POS systems|Inventory management,Market saturation|Supply chain,Low
Trade,Wholesale Trade,3456.7,3629.5,3810.0,4000.5,4200.5,4.6,2-100,4.1,5.3,6.8,5.0,B2B platforms|Supply chain tech,Credit management|Logistics,Medium
Trade,Import/Export,567.9,596.3,626.1,657.4,690.3,6.8,5-500,6.8,7.2,9.1,5.0,Trade finance tech|Documentation systems,Regulatory complexity|Foreign exchange,High
Agriculture,Crop Production,4567.8,4796.2,5036.0,5287.8,5552.2,3.2,1-30,4.5,2.8,5.9,5.0,Precision farming|Irrigation tech,Climate change|Market access,Low
Agriculture,Livestock,2345.6,2462.9,2586.0,2715.3,2851.1,2.8,1-25,3.9,2.1,4.7,5.0,Feed optimization|Health monitoring,Disease management|Feed costs,Low
Agriculture,Aquaculture,234.5,246.2,258.5,271.4,285.0,4.1,2-40,5.2,3.4,6.8,5.0,Water quality monitoring|Feed systems,Technical knowledge|Market linkages,Medium
Agriculture,Agro-processing,1234.6,1296.3,1361.1,1429.2,1500.7,7.3,3-60,6.1,4.7,7.2,5.0,Processing equipment|Packaging tech,Quality standards|Storage facilities,Medium
Construction,Residential Construction,1876.5,1970.3,2068.8,2172.2,2280.8,8.4,5-200,4.8,4.2,3.1,5.0,Building materials|Project management,Material costs|Skilled labor,Low
Construction,Commercial Construction,567.8,596.2,625.9,657.2,690.1,12.6,10-500,5.9,5.8,4.5,5.0,Construction tech|Safety systems,Project financing|Regulatory approvals,Medium
Construction,Infrastructure,234.5,246.2,258.5,271.4,285.0,18.7,20-1000,6.7,6.4,6.8,5.0,Heavy machinery|Engineering software,Capital requirements|Technical expertise,Medium
Tourism,Hospitality,789.3,828.8,870.2,913.7,959.4,5.8,2-100,5.1,6.3,7.8,5.0,Booking systems|Customer management,Infrastructure|Marketing,Medium
Tourism,Travel Services,345.6,362.9,381.0,400.1,420.1,3.4,1-50,6.2,7.8,8.2,5.0,Online platforms|Payment systems,Competition|Regulatory changes,High
Creative,Media and Entertainment,456.7,479.5,503.4,528.6,555.0,4.2,1-75,7.8,8.1,6.9,5.0,Content creation tools|Distribution platforms,Piracy|Funding,High
Creative,Arts and Crafts,234.5,246.2,258.5,271.4,285.0,2.1,0.5-15,4.1,3.8,7.5,5.0,E-commerce platforms|Digital marketing,Market access|Raw materials,Medium
