variable,label,section,type,scale,values,notes
firm_id,Firm ID (anonymized),A,string,id,"e.g., F42000001",
state,Location: State,A,categorical,nominal,"Abia, Abuja FCT, Adamawa, Akwa Ibom, Anambra, Bauchi, Bayelsa, Benue, Benué, Borno, Cross River, Delta, Ebonyi, Edo, Ekiti, Enugu, Gombe, Imo, Jigawa, Kaduna, Kano, Katsina, Kebbi, Kogi, Kwara, Lagos, Nasarawa, Niger, Ogun, Ondo, Osun, Oyo, Plateau, Rivers, Sokoto, Taraba, Yobe, Zamfara",
geo_zone,Geo-political zone,A,categorical,nominal,"North Central, North East, North West, South East, South South, South West",
location_type,Location type,A,categorical,binary,"Urban, Rural",
sector,Industry/Sector (label),A,categorical,nominal,"Manufacturing, Retail & Wholesale, IT & Professional Services, Agriculture, Hospitality & Food Services, Construction, Transport & Logistics, Education & Health, Other Services",
isic_section,ISIC section code,A,categorical,nominal,"A, C, F, G, H, I, J, P/Q, S",
isic_2digit,ISIC representative 2-digit code,A,string,code,"E.g., 10=Food, 47=Retail, 62=IT",
firm_age_years,Firm age (years of operation),A,integer,ratio,>=0,
employees_full_time,Full-time employees,A,integer,ratio,1-200 typical,
annual_turnover_naira,Annual turnover (NGN),A,numeric,ratio,"Continuous, may be missing",
legal_structure,Legal structure,A,categorical,nominal,"Sole Proprietorship, Partnership, Limited Liability, Cooperative/Other",
owner_age,Owner/Manager age,A,integer,ratio,18-70 customary,
owner_gender,Owner/Manager gender,A,categorical,nominal,"Male, Female",
owner_education,Owner/Manager education,A,categorical,ordinal,Primary < Secondary < Tertiary < Postgraduate,
owner_field_of_study,Field of study,A,categorical,nominal,"Business/Management, Engineering/Technology, Sciences, Arts/Social Sciences, Agric/Environment, Other",
owner_prior_entre_experience,Prior entrepreneurial experience,A,binary,0/1,1 = Yes,
owner_digital_literacy_0_100,Digital literacy score (0-100),A,numeric,index,Higher is better,
B1_digital_tools_computers,Extent of use: computers,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B1_digital_tools_accounting_software,Extent of use: accounting software,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B1_digital_tools_crm,Extent of use: CRM,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B1_digital_tools_ecommerce,Extent of use: e-commerce platforms,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B1_digital_tools_cloud,Extent of use: cloud,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B1_digital_tools_social_media,Extent of use: social media for business,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B2_advanced_ai_ml,Use of AI/ML for analytics,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B2_advanced_iot,Use of IoT in operations,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B2_advanced_blockchain,Use of blockchain,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B2_advanced_robotics,Use of robotics,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B3_process_new_methods,Adoption of new production/delivery methods,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B3_process_supply_chain_software,Implementation of supply chain/logistics software,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B3_process_support_techniques,"Use of new supporting techniques (accounting, HR)",B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B4_product_new_or_improved,New or significantly improved goods/services (last 3 years),B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B4_product_launch_frequency,Frequency of new product launches,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B5_bmi_revenue_model_changes,"Changes in revenue models (subscription, freemium, etc.)",B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B5_bmi_value_prop_changes,Changes in value proposition,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B5_bmi_customer_engagement_changes,Changes in customer engagement strategies,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B6_drivers_competitive_pressure,Perceived competitive pressure,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B6_drivers_customer_demand,Customer demand for innovation,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B6_drivers_top_mgmt_attitude,Top management attitude towards innovation,B,Likert,1-5,1=Strongly disagree ... 5=Strongly agree,
B_comp_digital_tools_mean_1_5,Composite: Digital tools (mean),B,numeric,1-5,Mean of B1 items,
B_comp_advanced_tech_mean_1_5,Composite: Advanced tech (mean),B,numeric,1-5,Mean of B2 items,
B_comp_process_innovation_mean_1_5,Composite: Process innovation (mean),B,numeric,1-5,Mean of B3 items,
