Respondent_ID,Stakeholder_Category,State,Organization_Type,Years_of_Experience,Awareness_of_SOFC_Technology,Awareness_Level_Score_1_10,Willingness_to_Adopt_Score_1_10,Perceived_Reliability_vs_Grid_Score_1_10,Perceived_Reliability_vs_Diesel_Score_1_10,Primary_Concern,Secondary_Concern,Key_Benefit_Expected,Investment_Capacity_Million_Naira,Preferred_Financing_Model,Decision_Timeline_Months,Technical_Knowledge_Score_1_10,Environmental_Concern_Score_1_10,Regulatory_Awareness_Score_1_10
IND001,Industrial Manager,Lagos,Manufacturing,15,Yes,6,8,9,8,Initial capital cost,Technical expertise availability,Reduced energy costs,500,Lease/PPA,12-24,5,7,4
IND002,Industrial Manager,Lagos,Manufacturing,12,Partial,4,7,8,7,Technology maturity,Fuel supply reliability,24/7 reliable power,350,Lease/PPA,18-36,3,6,3
IND003,Industrial Manager,Ogun,Manufacturing,18,Yes,7,9,9,9,Capital cost,Maintenance requirements,Lower operating costs,800,Direct purchase with loan,12-18,6,8,5
IND004,Industrial Manager,Kano,Textile,10,No,2,5,6,6,Unfamiliarity with technology,Initial investment,Reliable power supply,200,Lease/PPA,24-48,2,5,2
IND005,Industrial Manager,Rivers,Oil & Gas Services,20,Yes,8,9,9,8,Gas supply contracts,Regulatory approvals,Energy independence,1200,Direct purchase,6-12,7,7,6
IND006,Industrial Manager,Anambra,Auto Parts,14,Partial,5,7,8,8,Technology risk,After-sales support,Cost savings on diesel,450,Lease/PPA,12-24,4,6,4
IND007,Industrial Manager,Kaduna,Food Processing,11,Partial,4,6,7,7,Capital availability,Technical training,Stable power for production,280,Lease/PPA,18-36,3,5,3
IND008,Industrial Manager,Lagos,Pharmaceuticals,16,Yes,7,9,9,9,Regulatory compliance,Technology certification,Quality power for sensitive equipment,950,Direct purchase with loan,12-18,6,8,6
IND009,Industrial Manager,Oyo,Beverages,13,Partial,5,7,8,7,Fuel costs,Maintenance complexity,Reduced downtime,420,Lease/PPA,12-24,4,7,4
IND010,Industrial Manager,Enugu,Ceramics,9,No,3,5,6,6,Technology understanding,Initial cost,Improved power reliability,180,Lease/PPA,24-48,2,5,3
COM001,Community Leader,Lagos,LGA Development,8,No,2,4,5,5,Cost to community,Land requirements,Job creation,50,Grant/Subsidy,36-60,1,6,2
COM002,Community Leader,Rivers,Community Development,12,Partial,3,6,7,6,Environmental impact,Community benefit sharing,Electrification,80,Grant/Subsidy,24-48,2,7,2
COM003,Community Leader,Kano,Traditional Council,15,No,1,3,4,4,Foreign technology dependency,Cultural acceptance,Basic electricity access,30,Grant/Subsidy,48-72,1,4,1
COM004,Community Leader,Ogun,Local Government,10,Partial,4,6,7,6,Implementation complexity,Skills training for locals,Industrial development,120,PPP,24-36,3,6,3
COM005,Community Leader,Enugu,Community Association,7,No,2,5,6,5,Project sustainability,Maintenance after installation,Improved quality of life,60,Grant/Subsidy,36-60,2,6,2
DISCO001,DisCo Official,Lagos,Ikeja Electric,14,Yes,8,5,7,8,Impact on revenue,Grid integration complexity,Reduced load on grid,N/A,N/A,18-36,7,5,7
DISCO002,DisCo Official,Rivers,Port Harcourt Electricity,11,Yes,7,6,7,7,Loss of customers,Technical standards,Peak load management,N/A,N/A,18-36,6,5,6
DISCO003,DisCo Official,FCT,Abuja Electricity,13,Yes,8,7,8,8,Regulatory framework,Interconnection protocols,System stability,N/A,N/A,12-24,7,6,7
DISCO004,DisCo Official,Kano,Kano Electricity,9,Partial,5,5,6,6,Competition from distributed generation,Revenue protection,Load reduction,N/A,N/A,24-36,5,4,5
DISCO005,DisCo Official,Enugu,Enugu Electricity,10,Partial,6,6,7,7,Wheeling charges determination,Grid code compliance,Network congestion relief,N/A,N/A,18-36,5,5,6
POL001,Policymaker,FCT,Federal Ministry of Power,16,Yes,9,8,8,8,Policy consistency,Financing mechanisms,Energy access expansion,N/A,N/A,12-24,8,8,8
POL002,Policymaker,FCT,NERC,12,Yes,9,9,9,9,Regulatory gaps,Technical standards,Sector innovation,N/A,N/A,6-12,9,7,9
POL003,Policymaker,Lagos,Lagos State Ministry of Energy,10,Yes,7,8,8,7,State-federal coordination,Implementation capacity,Industrial competitiveness,N/A,N/A,12-18,6,7,6
POL004,Policymaker,Rivers,State Investment Bureau,8,Partial,6,7,7,7,Investor protection,Technology transfer,Economic diversification,N/A,N/A,18-24,5,6,5
POL005,Policymaker,FCT,Federal Ministry of Environment,11,Yes,8,9,9,8,Environmental monitoring,Carbon accounting,Climate goals achievement,N/A,N/A,12-18,7,9,7
INV001,Investor/Developer,Lagos,Renewable Energy,9,Yes,9,9,9,9,Market size,Regulatory certainty,High ROI potential,5000,Direct investment,6-12,8,7,7
INV002,Investor/Developer,FCT,Infrastructure Fund,12,Yes,8,8,8,8,Exit strategy,Policy stability,Portfolio diversification,8000,Direct investment,12-18,7,6,8
INV003,Investor/Developer,Lagos,Private Equity,14,Yes,9,9,9,9,Currency risk,Repatriation rules,Market leadership,12000,Direct investment,6-12,8,6,8
INV004,Investor/Developer,Rivers,Energy Services,10,Yes,8,9,9,8,Gas supply agreements,Offtake agreements,Growing market,3500,Lease/PPA model,12-24,7,7,6
INV005,Investor/Developer,Ogun,Manufacturing Investment,11,Partial,6,7,8,8,Technology sourcing,Local partnerships,Industrial demand,2500,PPP,18-24,6,6,5
