Node,Sources,References,Created By,Created On,Modified By,Modified On
"Financial Constraints",25,76,Researcher1,2024-10-15,Researcher2,2024-10-18
"Financial Constraints\High Interest Rates",23,48,Researcher1,2024-10-15,Researcher1,2024-10-17
"Financial Constraints\Collateral Requirements",18,35,Researcher1,2024-10-15,Researcher2,2024-10-17
"Financial Constraints\Limited Venture Capital",15,28,Researcher1,2024-10-15,Researcher1,2024-10-16
"Financial Constraints\Hidden Costs",20,42,Researcher2,2024-10-16,Researcher2,2024-10-18
"Human Capital",24,89,Researcher1,2024-10-15,Researcher2,2024-10-18
"Human Capital\Skills Gap",22,51,Researcher1,2024-10-15,Researcher1,2024-10-17
"Human Capital\Brain Drain",19,44,Researcher1,2024-10-15,Researcher2,2024-10-17
"Human Capital\Resistance to Change",21,67,Researcher2,2024-10-16,Researcher2,2024-10-18
"Human Capital\Training Costs",17,38,Researcher1,2024-10-16,Researcher1,2024-10-17
"Infrastructure",25,95,Researcher1,2024-10-15,Researcher2,2024-10-18
"Infrastructure\Power Supply",24,72,Researcher1,2024-10-15,Researcher2,2024-10-18
"Infrastructure\Internet Connectivity",18,45,Researcher1,2024-10-15,Researcher1,2024-10-17
"Infrastructure\Transportation",16,33,Researcher2,2024-10-16,Researcher2,2024-10-17
"Infrastructure\Cold Chain",12,24,Researcher1,2024-10-16,Researcher1,2024-10-17
"Regulatory Environment",23,78,Researcher2,2024-10-15,Researcher2,2024-10-18
"Regulatory Environment\Policy Inconsistency",20,52,Researcher2,2024-10-15,Researcher2,2024-10-17
"Regulatory Environment\Bureaucracy",19,48,Researcher2,2024-10-15,Researcher1,2024-10-17
"Regulatory Environment\Multiple Taxation",14,31,Researcher1,2024-10-16,Researcher1,2024-10-17
"Regulatory Environment\Compliance Costs",17,39,Researcher2,2024-10-16,Researcher2,2024-10-18
"Market Dynamics",22,71,Researcher1,2024-10-15,Researcher2,2024-10-18
"Market Dynamics\Price Sensitivity",18,41,Researcher1,2024-10-15,Researcher1,2024-10-17
"Market Dynamics\Market Access",16,37,Researcher2,2024-10-16,Researcher2,2024-10-17
"Market Dynamics\Import Competition",13,26,Researcher1,2024-10-16,Researcher1,2024-10-17
"Market Dynamics\Export Opportunities",15,32,Researcher2,2024-10-16,Researcher2,2024-10-18
"Innovation Strategies",25,112,Researcher1,2024-10-15,Researcher2,2024-10-18
"Innovation Strategies\Phased Implementation",19,58,Researcher1,2024-10-15,Researcher1,2024-10-17
"Innovation Strategies\Partnerships",17,44,Researcher1,2024-10-15,Researcher2,2024-10-17
"Innovation Strategies\Customer-Centric",14,35,Researcher2,2024-10-16,Researcher2,2024-10-17
"Innovation Strategies\Change Management",18,49,Researcher1,2024-10-16,Researcher2,2024-10-18
"Performance Impact",25,98,Researcher1,2024-10-15,Researcher2,2024-10-18
"Performance Impact\Revenue Growth",22,62,Researcher1,2024-10-15,Researcher1,2024-10-17
"Performance Impact\Operational Efficiency",20,55,Researcher1,2024-10-15,Researcher2,2024-10-17
"Performance Impact\Quality Improvement",18,43,Researcher2,2024-10-16,Researcher2,2024-10-17
"Performance Impact\Market Expansion",16,38,Researcher1,2024-10-16,Researcher1,2024-10-18
"Support Ecosystem",21,65,Researcher2,2024-10-15,Researcher2,2024-10-18
"Support Ecosystem\Government Programs",18,41,Researcher2,2024-10-15,Researcher2,2024-10-17
"Support Ecosystem\Industry Associations",13,28,Researcher1,2024-10-16,Researcher1,2024-10-17
"Support Ecosystem\Development Partners",11,22,Researcher2,2024-10-16,Researcher2,2024-10-17
"Support Ecosystem\Incubators",12,25,Researcher1,2024-10-16,Researcher1,2024-10-18
"Cultural Factors",20,59,Researcher1,2024-10-15,Researcher2,2024-10-18
"Cultural Factors\Traditional Practices",16,35,Researcher1,2024-10-15,Researcher1,2024-10-17
"Cultural Factors\Gender Dynamics",12,28,Researcher2,2024-10-16,Researcher2,2024-10-17
"Cultural Factors\Failure Stigma",10,19,Researcher1,2024-10-16,Researcher1,2024-10-17
"Cultural Factors\Trust and Relationships",14,31,Researcher2,2024-10-16,Researcher2,2024-10-18
"Future Technologies",23,74,Researcher1,2024-10-15,Researcher2,2024-10-18
"Future Technologies\Artificial Intelligence",18,42,Researcher1,2024-10-15,Researcher1,2024-10-17
"Future Technologies\Blockchain",14,31,Researcher1,2024-10-15,Researcher2,2024-10-17
"Future Technologies\IoT",16,35,Researcher2,2024-10-16,Researcher2,2024-10-17
"Future Technologies\Sustainability Tech",12,26,Researcher1,2024-10-16,Researcher1,2024-10-18
