name,state,lga,type,sector_focus,lat,lon,num_large_tenants_estimate,grid_power_reliability_score,captive_power_presence,gas_supply_proximity_km,notes,source,is_fabricated
Ikeja Industrial Estate,Lagos,Ikeja,Industrial Estate,Mixed Manufacturing,6.6018,3.3515,92,2.3,True,2.2,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Apapa Port Zone,Lagos,Apapa,Port/Logistics,Logistics,6.445,3.358,46,3.2,True,26.8,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Lekki Free Trade Zone,Lagos,Ibeju-Lekki,Free Trade Zone,Petrochemicals/Manufacturing,6.43,3.605,74,2.0,False,21.0,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Agbara Industrial Estate,Ogun,Ado-Odo/Ota,Industrial Estate,FMCG/Manufacturing,6.536,3.049,87,3.5,False,28.6,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Sango-Ota Industrial Cluster,Ogun,Ado-Odo/Ota,Industrial Cluster,Mixed Manufacturing,6.698,3.2513,47,3.2,True,25.6,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Nnewi Industrial Cluster,Anambra,Nnewi North,Industrial Cluster,Automotive/Manufacturing,6.0197,6.91,96,3.0,True,28.9,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Onitsha Industrial/Commercial Zone,Anambra,Onitsha North,Commercial/Industrial,Trading/Manufacturing,6.1667,6.7833,118,1.9,True,41.8,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Ariaria/Osisioma Industrial Area,Abia,Aba North,Industrial/Market,Light Manufacturing/Leather,5.1126,7.3733,21,3.0,True,12.8,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Port Harcourt Industrial Area,Rivers,Obio/Akpor,Industrial Area,Oil & Gas Services,4.8156,7.0498,87,2.6,False,56.6,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Kano Industrial Area (Bompai/Sharada/Challawa),Kano,Kano Municipal,Industrial Area,Textiles/Chemicals,12.0,8.5167,73,2.2,True,3.8,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Kaduna Industrial Area,Kaduna,Kaduna North,Industrial Area,Textiles/Agro,10.5167,7.4333,12,2.3,True,40.9,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Warri Industrial/Logistics Area,Delta,Udu,Industrial/Logistics,Oil & Gas Services,5.5167,5.75,32,3.4,False,2.9,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Aba Mega Mall & Adjacent Industrial,Abia,Aba South,Commercial/Industrial,Retail/Light Manufacturing,5.1066,7.3667,18,2.3,True,14.4,Seeded from known hubs; parameters fabricated,CAC/State Investment Bureaus (fabricated synthesis),True
Oyo Industrial Estate,Oyo,Oyo LGA 1,Industrial Estate,Mixed Manufacturing,,,43,2.1,True,30.5,Synthetic anchor estate for modeling,CAC/State Investment Bureaus (fabricated synthesis),True
Katsina Industrial Estate,Katsina,Katsina LGA 1,Industrial Estate,Mixed Manufacturing,,,30,3.2,False,46.8,Synthetic anchor estate for modeling,CAC/State Investment Bureaus (fabricated synthesis),True
Bauchi Industrial Estate,Bauchi,Bauchi LGA 1,Industrial Estate,Mixed Manufacturing,,,17,3.3,False,50.3,Synthetic anchor estate for modeling,CAC/State Investment Bureaus (fabricated synthesis),True
Borno Industrial Estate,Borno,Borno LGA 1,Industrial Estate,Mixed Manufacturing,,,14,3.0,False,37.8,Synthetic anchor estate for modeling,CAC/State Investment Bureaus (fabricated synthesis),True
Akwa Ibom Industrial Estate,Akwa Ibom,Akwa Ibom LGA 1,Industrial Estate,Mixed Manufacturing,,,37,3.5,False,78.1,Synthetic anchor estate for modeling,CAC/State Investment Bureaus (fabricated synthesis),True
