sme_id,year,state,sector,size_category,annual_revenue_ngn,innovations_adopted,innovation_intensity,constraints_faced,constraint_severity,revenue_growth_rate,profitability_rate,employee_growth_rate,digital_readiness_score,access_to_finance,government_support,num_employees,years_in_operation,export_orientation,formal_registration
1,2015,Borno,Agriculture,Small (10-49),525102.73,Blockchain Technology,0.062,Competition from Large Firms; Technical Skills Gap; Limited Technical Support,2.54,22.06,13.13,-6.13,3.72,Difficult,Minimal,152,14,Yes,Yes
2,2015,Enugu,Technology,Micro (1-9),198438.25,,0.0,Competition from Large Firms; Limited Technical Support; Talent Acquisition; High Internet Costs,2.34,17.15,15.24,-0.12,4.34,Moderate,Minimal,72,1,Yes,Yes
3,2015,Kebbi,Construction,Micro (1-9),2482635.93,Cloud Computing; E-commerce Platform,0.125,Technical Skills Gap; Technology Infrastructure; Limited R&D Investment; Power Supply Issues; Market Access; Financial Constraints; Access to Credit,4.58,1.09,15.81,-8.77,1.73,Difficult,Significant,97,3,No,No
4,2015,Kwara,Transportation,Micro (1-9),996222.17,,0.0,Limited Technical Support,4.51,14.61,21.33,-1.33,2.71,Moderate,None,21,8,Yes,Yes
5,2015,Osun,Energy,Small (10-49),168022.71,Financial Technology,0.062,Regulatory Barriers; Limited Technical Support; Market Access; Competition from Large Firms; Limited R&D Investment; Technical Skills Gap,4.19,2.0,7.49,17.54,4.95,Difficult,None,187,8,Yes,Yes
6,2015,Jigawa,Food & Beverage,Small (10-49),5831909.19,Blockchain Technology; Supply Chain Management; AI/ML Tools; Social Media Marketing,0.25,Regulatory Barriers,3.17,23.83,5.57,-10.73,1.0,Difficult,Moderate,103,9,Yes,Yes
7,2015,Zamfara,Food & Beverage,Small (10-49),6879568.34,Smart Agriculture,0.062,Talent Acquisition; Limited Technical Support; Access to Credit; Infrastructure Limitations; Market Access; Competition from Large Firms; Regulatory Barriers,2.85,11.24,35.3,2.6,3.28,Difficult,Minimal,192,19,No,No
8,2015,Nasarawa,Healthcare,Micro (1-9),1381383.85,Smart Agriculture,0.062,Government Policy Uncertainty; Financial Constraints,4.69,17.47,5.42,11.23,5.0,Very Difficult,None,41,22,No,Yes
9,2015,Lagos,Education,Micro (1-9),817907.11,Automation Software; Smart Agriculture; Online Learning Platform,0.188,Limited Technical Support,2.7,11.3,13.17,4.05,4.61,Difficult,Minimal,138,25,No,No
10,2015,Kebbi,Manufacturing,Micro (1-9),3424374.28,Telemedicine,0.062,Competition from Large Firms,2.6,16.46,10.93,-0.26,1.38,Very Difficult,None,129,25,Yes,Yes
11,2015,Benue,Real Estate,Small (10-49),60944.26,IoT Solutions; Mobile Payment System; AI/ML Tools; Social Media Marketing; Telemedicine,0.312,Power Supply Issues,3.15,5.01,17.76,21.46,1.73,Moderate,None,238,12,No,Yes
12,2015,Gombe,Food & Beverage,Micro (1-9),26814.07,,0.0,Competition from Large Firms; Access to Credit,2.81,4.54,10.16,1.71,1.0,Difficult,Significant,137,25,Yes,Yes
13,2015,Oyo,Retail,Micro (1-9),152488.76,Online Learning Platform; Cloud Computing; Automation Software; Social Media Marketing,0.25,Competition from Large Firms; Market Access; Digital Literacy; Limited Technical Support,4.66,24.92,-3.75,-7.82,4.13,Difficult,Minimal,133,15,Yes,Yes
14,2015,Bauchi,Healthcare,Micro (1-9),62384.2,Blockchain Technology; CRM Systems; Cloud Computing; Digital Marketing,0.25,Competition from Large Firms; Limited Technical Support,4.99,6.0,34.69,5.96,3.23,Easy,None,9,11,Yes,Yes
15,2015,Jigawa,Energy,Micro (1-9),158110.57,Data Analytics; Financial Technology; CRM Systems; Online Learning Platform,0.25,Regulatory Barriers; Government Policy Uncertainty; Access to Credit; Digital Literacy; Talent Acquisition; Technical Skills Gap; Power Supply Issues; Competition from Large Firms,1.84,6.75,13.65,38.1,1.21,Moderate,Minimal,222,24,Yes,Yes
16,2015,Benue,Agriculture,Micro (1-9),861386.62,Cloud Computing; Smart Agriculture,0.125,Regulatory Barriers; High Internet Costs; Access to Credit; Infrastructure Limitations,2.76,-31.92,23.14,-21.34,2.58,Moderate,None,64,3,No,No
17,2015,Yobe,Manufacturing,Micro (1-9),104221.21,Digital Marketing; E-commerce Platform; Social Media Marketing; Cloud Computing,0.25,Digital Literacy; Access to Credit; Limited R&D Investment,4.45,6.22,16.89,15.87,1.0,Moderate,Minimal,16,6,No,Yes
18,2015,Lagos,Construction,Medium (50-249),1704182.79,CRM Systems; IoT Solutions; Financial Technology,0.188,Infrastructure Limitations; Regulatory Barriers; Market Access; Limited R&D Investment; Financial Constraints; Power Supply Issues; High Internet Costs; Limited Technical Support,1.62,7.44,20.44,21.48,4.5,Difficult,None,150,16,Yes,Yes
19,2015,Rivers,Manufacturing,Small (10-49),134110.9,,0.0,Limited Technical Support; Limited R&D Investment,1.08,10.0,11.17,11.61,1.3,Moderate,None,228,19,Yes,Yes
20,2015,Akwa Ibom,Transportation,Micro (1-9),106850.1,Supply Chain Management; Telemedicine; Data Analytics; Cloud Computing; Smart Agriculture,0.312,Regulatory Barriers; Market Access; Digital Literacy; Infrastructure Limitations; Limited Technical Support; Limited R&D Investment,1.97,5.02,18.49,10.89,2.55,Moderate,Moderate,240,3,Yes,Yes
21,2015,Zamfara,Manufacturing,Micro (1-9),654217.91,Automation Software,0.062,Talent Acquisition; Technology Infrastructure; Technical Skills Gap,3.67,-1.49,4.15,-16.17,5.0,Very Difficult,None,41,15,No,Yes
22,2015,Sokoto,Agriculture,Small (10-49),113294.76,CRM Systems; Telemedicine; Supply Chain Management; E-commerce Platform,0.25,Market Access; Technical Skills Gap; Limited R&D Investment,2.52,-3.91,-1.24,12.96,1.0,Difficult,None,73,20,Yes,No
23,2015,Enugu,Energy,Small (10-49),10141954.34,Smart Agriculture; Data Analytics,0.125,Technical Skills Gap,3.21,-18.15,7.56,17.64,3.14,Difficult,Moderate,12,1,No,No
24,2015,Imo,Services,Small (10-49),440835.64,Online Learning Platform; Automation Software; Digital Marketing; E-commerce Platform,0.25,Talent Acquisition; Competition from Large Firms,1.09,28.96,14.98,-16.69,1.0,Very Difficult,Minimal,214,12,Yes,Yes
25,2015,Akwa Ibom,Construction,Micro (1-9),397089.48,,0.0,Regulatory Barriers; Limited Technical Support; Talent Acquisition; Limited R&D Investment; Technical Skills Gap; Technology Infrastructure,1.56,-11.08,13.18,-15.66,4.19,Difficult,Moderate,105,20,Yes,No
26,2015,Gombe,Real Estate,Micro (1-9),1806115.3,Online Learning Platform,0.062,Infrastructure Limitations,4.32,19.41,14.53,17.78,5.0,Difficult,None,239,14,Yes,Yes
