Survey_ID,Region,State,Urban_Rural,Gender,Age_Group,Education_Level,Employment_Status,Heard_of_Fuel_Cells,Heard_of_SOFC_Specifically,Source_of_Information,Perceived_Safety_Score_1_10,Perceived_Cost_vs_Diesel,Perceived_Reliability_vs_Grid_Score_1_10,Willingness_to_Work_in_SOFC_Industry,Environmental_Concern_Score_1_10,Support_Government_Investment_in_SOFC,Primary_Energy_Concern,Trust_in_New_Technology_Score_1_10,Preferred_Information_Source
PUB001,South West,Lagos,Urban,Male,25-34,University,Employed,Yes,No,Internet/Social Media,7,More expensive initially but cheaper long-term,8,Yes,8,Yes,High electricity costs,7,Social media and online news
PUB002,South West,Lagos,Urban,Female,35-44,University,Self-employed,Yes,No,Television,6,Unsure,7,Maybe,7,Yes,Unreliable power supply,6,Television news
PUB003,South East,Anambra,Urban,Male,45-54,University,Business owner,Yes,Yes,Industry association,8,Cost-effective for businesses,9,Yes,6,Yes,Business operational costs,8,Industry seminars and publications
PUB004,South South,Rivers,Urban,Male,35-44,University,Employed,Yes,Partial,Workplace,7,Better than diesel,8,Yes,7,Yes,Environmental pollution,7,Professional networks
PUB005,North West,Kano,Urban,Male,25-34,Secondary,Employed,No,No,N/A,4,No knowledge,5,Maybe,5,Unsure,Job security,5,Community leaders
PUB006,North Central,FCT,Urban,Female,25-34,University,Civil servant,Yes,Partial,Government briefings,8,Government should subsidize,8,Yes,8,Yes,Energy security,8,Government communications
PUB007,South West,Ogun,Urban,Male,35-44,University,Factory worker,Partial,No,Colleagues,6,Concerned about job impact on generator technicians,7,Maybe,6,Unsure,Keeping my job,6,Workplace and colleagues
PUB008,South East,Enugu,Urban,Female,25-34,University,Unemployed,No,No,N/A,5,No knowledge,6,Yes - need employment,6,Yes if creates jobs,Need for employment,5,Social media
PUB009,South West,Lagos,Urban,Male,18-24,University student,Student,Yes,No,Academic courses,8,Innovative solution,8,Yes - career interest,9,Yes,Climate change,8,University and academic sources
PUB010,South South,Delta,Semi-urban,Male,35-44,Secondary,Trader,No,No,N/A,4,No knowledge,5,Maybe,5,Unsure if benefits me,Electricity for shop,4,Radio and friends
PUB011,South West,Oyo,Urban,Female,45-54,University,Teacher,Partial,No,Newspaper,6,Expensive technology,7,Maybe,7,Yes,Environmental health,7,Newspapers
PUB012,North West,Kaduna,Urban,Male,35-44,University,Industrial worker,Partial,No,Workplace,6,Promising if proven,7,Yes,6,Yes,Factory power costs,7,Workplace and industry news
PUB013,South East,Abia,Urban,Male,25-34,Polytechnic,Artisan,No,No,N/A,5,No knowledge,6,Yes - for training,5,Unsure,Need skills training,5,Religious and community leaders
PUB014,South West,Lagos,Urban,Female,25-34,University,Professional,Yes,Partial,Professional conference,8,Viable for large users,8,Maybe,8,Yes,Urban air quality,8,Professional conferences and publications
PUB015,North Central,Plateau,Urban,Male,45-54,University,Retired,Yes,No,Television,6,Too expensive for individuals,7,No - retired,6,Yes,National development,6,Television news
PUB016,South East,Imo,Semi-urban,Male,35-44,Secondary,Farmer,No,No,N/A,4,No knowledge,5,No - happy farming,4,Unsure,Rural electrification,4,Community meetings
PUB017,South South,Rivers,Urban,Female,35-44,University,NGO worker,Yes,Partial,Work-related research,8,Worth the investment for environment,8,Maybe,9,Yes,Environmental degradation,8,Research and NGO networks
PUB018,South West,Ogun,Urban,Male,25-34,Polytechnic,Technician,Partial,No,Trade school,6,Might threaten generator repair jobs,7,Yes but concerned about transition,5,Maybe,Job security in transition,6,Technical training institutions
PUB019,North West,Kano,Urban,Female,25-34,University,Employed,No,No,N/A,5,No knowledge,6,Yes,6,Yes if benefits north,Regional development balance,5,Social media
