Technology,Capacity_Factor_Percent,Efficiency_Percent,Capital_Cost_USD_per_kW,O&M_Cost_USD_per_kW_year,Fuel_Cost_USD_per_MWh,LCOE_USD_per_MWh,Lifespan_Years,Ramp_Rate_Percent_per_Minute,Startup_Time_Minutes,Minimum_Load_Percent,Emissions_CO2_kg_per_MWh,Emissions_NOx_g_per_MWh,Emissions_SOx_g_per_MWh,Water_Usage_L_per_MWh,Land_Use_m2_per_MW,Technology_Maturity,Grid_Integration_Complexity,Fuel_Flexibility,Local_Manufacturing_Potential
SOFC_Natural_Gas,85,60,4500,180,18,85,20,5,60,30,320,15,5,45,200,Emerging,Medium,High,Medium
SOFC_Biogas,80,58,4800,195,12,78,20,5,60,30,45,12,3,50,220,Emerging,Medium,High,Medium
SOFC_Flare_Gas,82,59,5200,210,8,72,20,5,60,30,350,18,8,48,210,Emerging,High,High,Low
CCGT_Natural_Gas,75,58,900,25,22,72,25,8,30,45,380,45,12,1200,450,Mature,Low,Low,High
OCGT_Natural_Gas,35,38,650,20,28,95,25,15,10,25,520,85,20,150,350,Mature,Low,Low,High
Reciprocating_Gas_Engine,65,42,1100,45,24,82,20,25,5,20,450,180,15,280,280,Mature,Low,Medium,High
Coal_Supercritical,85,42,2800,40,15,58,40,2,240,50,820,850,1800,2100,2400,Mature,Medium,Low,Medium
Nuclear_PWR,90,33,6500,95,8,92,60,1,720,60,12,0,0,2500,1200,Mature,High,Very_Low,Very_Low
Grid_Diesel,25,35,450,35,85,185,15,50,2,15,680,2200,450,80,180,Mature,Low,Low,High
Off_Grid_Diesel,30,32,420,40,95,210,12,50,2,10,720,2400,520,75,150,Mature,Very_Low,Low,High
Solar_PV_Utility,22,19,850,15,0,48,25,N/A,N/A,0,45,0,0,120,16200,Mature,Medium,Very_Low,High
Solar_PV_Rooftop,18,17,1200,18,0,72,25,N/A,N/A,0,45,0,0,110,8500,Mature,Low,Very_Low,High
Wind_Onshore,32,N/A,1450,40,0,58,25,N/A,N/A,0,12,0,0,0,34000,Mature,Medium,Very_Low,Medium
Hydro_Large,52,90,2200,35,0,52,50,8,15,25,18,0,0,N/A,45000,Mature,Medium,Very_Low,Medium
Hydro_Small,48,85,3200,50,0,68,40,10,10,20,15,0,0,N/A,12000,Mature,Low,Very_Low,High
Biomass_Combustion,70,28,3500,110,28,95,25,3,180,40,580,320,85,1800,3200,Mature,Medium,High,High
Biomass_Gasification,65,35,4200,125,22,88,20,5,120,35,420,180,45,950,2800,Emerging,Medium,High,Medium
Biogas_Engine,60,38,2800,95,15,72,15,20,8,20,380,160,25,420,850,Mature,Low,High,High
Geothermal,85,15,4800,120,0,68,30,2,N/A,70,38,0,0,1650,1800,Mature,Medium,Very_Low,Low
Hybrid_SOFC_GT,88,65,5200,220,19,82,20,6,45,35,310,12,4,180,280,Emerging,High,Medium,Low
Micro_Turbine,70,30,1800,65,26,98,20,30,3,15,480,95,18,95,120,Mature,Low,Low,Medium
Stirling_Engine,45,25,3200,85,24,125,15,5,45,30,450,120,28,180,240,Emerging,Medium,High,Low
Molten_Carbonate_FC,80,50,5800,240,20,98,15,4,90,40,360,18,6,85,320,Emerging,High,Medium,Low
Proton_Exchange_FC,55,50,6500,280,32,142,10,15,2,0,0,0,0,1200,180,Emerging,Medium,Low,Low
